Name: 4, Condition: 3, Run: 33, Date: 10/10/2019 2:42:12 PM, Testing: True
time,userInput,disturbanceInput,angAcc,angVel,rollAngle
3.519997,-4.132186,-9.088746,-52.88373,-0.1515531,3.736923
3.529997,-4.132186,-9.305019,-53.74882,-0.6890413,3.730033
3.539997,-4.133316,-9.390053,-54.09348,-1.229976,3.717733
3.549997,-4.133316,-9.343702,-53.90807,-1.769057,3.700042
3.559997,-4.138968,-9.168015,-53.22793,-2.301336,3.677029
3.569997,-4.138968,-8.867193,-52.02464,-2.821583,3.648813
3.579997,-4.138968,-8.447486,-50.34581,-3.325041,3.615563
3.589997,-4.144619,-7.91709,-48.24683,-3.807509,3.577488
3.599997,-4.144619,-7.285983,-45.7224,-4.264733,3.53484
3.609997,-4.164964,-6.565726,-42.92276,-4.69396,3.487901
3.619997,-4.176268,-5.769268,-39.78214,-5.091782,3.436983
3.629997,-4.176268,-4.910685,-36.34781,-5.45526,3.38243
3.639997,-4.181919,-4.004961,-32.74752,-5.782735,3.324603
3.649997,-4.181919,-3.0676,-28.99807,-6.072716,3.263876
3.659997,-4.181919,-2.114509,-25.18571,-6.324573,3.20063
3.669997,-4.181919,-1.161585,-21.37402,-6.538313,3.135247
3.679997,-4.181919,-0.2244809,-17.6256,-6.71457,3.068101
3.689997,-4.181919,0.6817052,-14.00085,-6.854578,2.999556
3.699997,-4.181919,1.542675,-10.55697,-6.960148,2.929954
3.709997,-4.181919,2.345196,-7.346889,-7.033617,2.859618
3.719997,-4.181919,3.077345,-4.418295,-7.077799,2.78884
3.729997,-4.181919,3.728688,-1.812921,-7.095929,2.717881
3.739997,-4.181919,4.290497,0.4343147,-7.091586,2.646965
3.749997,-4.181919,4.755858,2.295757,-7.068628,2.576278
3.759997,-4.181919,5.119819,3.7516,-7.031112,2.505967
3.769997,-4.18644,5.379435,4.771982,-6.983392,2.436133
3.779997,-4.18644,5.53384,5.389601,-6.929496,2.366838
3.789997,-4.205655,5.584198,5.514174,-6.874354,2.298095
3.799997,-4.205655,5.533719,5.312254,-6.821231,2.229883
3.809997,-4.219218,5.387536,4.673271,-6.774498,2.162138
3.819997,-4.219218,5.152616,3.733589,-6.737163,2.094766
3.829997,-4.219218,4.837609,2.473564,-6.712427,2.027642
3.839997,-4.229391,4.452661,0.8930779,-6.703496,1.960607
3.849997,-4.229391,4.009219,-0.8806877,-6.712303,1.893484
3.859997,-4.235043,3.519786,-2.861028,-6.740913,1.826075
3.869997,-4.235043,2.997688,-4.94942,-6.790408,1.75817
3.879997,-4.237303,2.456789,-7.122056,-6.861628,1.689554
3.889997,-4.237303,1.911238,-9.304258,-6.95467,1.620008
3.899997,-4.237303,1.375167,-11.44854,-7.069156,1.549316
3.909997,-4.242955,0.8624346,-13.52208,-7.204377,1.477272
3.919997,-4.242955,0.38635,-15.42642,-7.358641,1.403686
3.929997,-4.248607,-0.0406643,-17.15708,-7.530211,1.328384
3.939997,-4.248607,-0.4071665,-18.62309,-7.716443,1.251219
3.949997,-4.248607,-0.7030569,-19.80665,-7.914509,1.172074
3.959997,-4.248607,-0.9197189,-20.6733,-8.121243,1.090862
3.969997,-4.248607,-1.050212,-21.19527,-8.333196,1.00753
3.979997,-4.248607,-1.089399,-21.35202,-8.546716,0.9220626
3.989997,-4.114101,-1.034068,-20.59268,-8.752643,0.8345361
3.999997,-4.114101,-0.88299,-19.98836,-8.952526,0.7450109
4.009997,-4.007853,-0.6369523,-18.57922,-9.138318,0.6536277
4.019997,-4.007853,-0.2987808,-17.22654,-9.310583,0.5605218
4.029997,-3.563646,0.1267618,-13.74753,-9.448058,0.4660413
4.039998,-2.697838,0.6329919,-8.259382,-9.530652,0.3707348
4.049998,-2.697838,1.211469,-5.945476,-9.590107,0.2748337
