Name: 3, Condition: 1, Run: 4, Date: 10/9/2019 4:15:52 PM, Testing: False
time,userInput,disturbanceInput,angAcc,angVel,rollAngle
2.459998,-3.420098,5.970262,10.20066,5.077812,3.266019
2.469998,-3.420098,5.044762,6.498657,5.142799,3.317447
2.479998,-3.522955,4.072771,2.199262,5.164792,3.369095
2.489998,-3.567037,3.070551,-1.985941,5.144932,3.420544
2.499998,-3.567037,2.054733,-6.049216,5.08444,3.471389
2.509998,-3.652939,1.042018,-10.44369,4.980003,3.521188
2.519998,-3.652939,0.04890884,-14.41612,4.835842,3.569547
2.529998,-3.698151,-0.9086647,-18.42727,4.651569,3.616063
2.539998,-3.698151,-1.815495,-22.05458,4.431024,3.660373
2.549998,-3.698151,-2.657445,-25.42239,4.1768,3.702141
2.559998,-3.698151,-3.421678,-28.47932,3.892007,3.741061
2.569998,-3.698151,-4.096867,-31.18007,3.580206,3.776863
2.579998,-3.698151,-4.67339,-33.48617,3.245344,3.809317
2.589998,-3.698151,-5.143495,-35.36658,2.891678,3.838234
2.599998,-3.698151,-5.501416,-36.79827,2.523696,3.863471
2.609998,-3.698151,-5.74346,-37.76645,2.146031,3.884931
2.619998,-3.698151,-5.868084,-38.26494,1.763382,3.902565
2.629998,-3.698151,-5.875865,-38.29606,1.380421,3.916369
2.639998,-3.674415,-5.7695,-37.77566,1.002665,3.926396
2.649998,-3.674415,-5.55373,-36.91258,0.633539,3.932731
2.659998,-3.625812,-5.23526,-35.44429,0.2790961,3.935522
2.669998,-3.625812,-4.822548,-33.79344,-0.05883834,3.934934
2.679998,-3.605467,-4.325731,-31.72479,-0.3760863,3.931173
2.689998,-3.605467,-3.756363,-29.44732,-0.6705595,3.924467
2.699998,-3.605467,-3.127207,-26.93069,-0.9398664,3.915069
2.709998,-3.605467,-2.451981,-24.22979,-1.182164,3.903247
2.719998,-3.605467,-1.7451,-21.40227,-1.396187,3.889285
2.729998,-3.605467,-1.021395,-18.50745,-1.581261,3.873472
2.739998,-3.605467,-0.2958341,-15.6052,-1.737313,3.856099
2.749998,-3.605467,0.4167638,-12.75481,-1.864861,3.837451
2.759998,-3.605467,1.102007,-10.01384,-1.965,3.817801
2.769998,-3.605467,1.746206,-7.437044,-2.03937,3.797407
2.779998,-3.605467,2.336623,-5.075373,-2.090124,3.776506
2.789998,-3.605467,2.861721,-2.974982,-2.119874,3.755307
2.799998,-3.605467,3.311357,-1.176439,-2.131638,3.733991
2.809998,-3.605467,3.677024,0.2862282,-2.128776,3.712703
2.819998,-3.605467,3.951927,1.38584,-2.114918,3.691554
2.829998,-3.605467,4.131166,2.102798,-2.09389,3.670615
2.839998,-3.605467,4.211803,2.425345,-2.069636,3.649919
2.849998,-3.605467,4.192916,2.349797,-2.046138,3.629457
2.859998,-3.605467,4.075614,1.880589,-2.027332,3.609184
2.869998,-3.605467,3.863001,1.030137,-2.017031,3.589014
2.879998,-3.648418,3.560119,-0.3531971,-2.020563,3.568808
2.889998,-3.710584,3.173846,-2.146954,-2.042032,3.548388
2.899998,-3.710584,2.712757,-3.99131,-2.081946,3.527569
2.909998,-3.780663,2.186956,-6.374827,-2.145694,3.506112
2.919998,-3.780663,1.607884,-8.691116,-2.232605,3.483786
2.929998,-3.811181,0.988086,-11.29238,-2.345529,3.46033
