Name: 0-1, Condition: 2, Run: 2, Date: 10/7/2019 9:36:42 AM, Testing: True
time,userInput,disturbanceInput,angAcc,angVel,rollAngle
2.349998,-2.642453,9.575583,27.73252,-30.01957,-20.07853
2.359998,0,9.878345,39.51338,-29.62443,-20.37477
2.369998,0,10.04837,40.19347,-29.2225,-20.667
2.379998,0,10.08353,40.33413,-28.81915,-20.95519
2.389998,0,9.983941,39.93576,-28.4198,-21.23939
2.399998,0,9.751915,39.00766,-28.02972,-21.51969
2.409998,2.297147,9.391955,46.75641,-27.56216,-21.79531
2.419998,2.297147,8.910668,44.83126,-27.11385,-22.06645
2.429998,5.104806,8.31664,53.68578,-26.57699,-22.33222
2.439998,6.099469,7.620286,54.87902,-26.0282,-22.5925
2.449998,6.099469,6.833663,51.73253,-25.51087,-22.84761
2.459998,7.486344,5.970262,53.82642,-24.97261,-23.09733
2.469998,7.486344,5.044762,50.12443,-24.47137,-23.34204
2.479998,8.354413,4.072771,49.70873,-23.97428,-23.58179
2.489998,8.684461,3.070551,47.02005,-23.50408,-23.81683
2.499998,8.684461,2.054733,42.95677,-23.07451,-24.04757
2.509998,9.21231,1.042018,41.01731,-22.66434,-24.27422
2.519998,9.21231,0.04890884,37.04488,-22.29389,-24.49715
2.529998,9.736768,-0.9086647,35.31241,-21.94077,-24.71656
2.539998,10.42173,-1.815495,34.42493,-21.59652,-24.93253
2.549998,10.42173,-2.657445,31.05713,-21.28594,-25.14539
2.559998,10.81168,-3.421678,29.56001,-20.99034,-25.35529
2.569998,10.81168,-4.096867,26.85926,-20.72175,-25.56251
2.579998,11.7487,-4.67339,28.30123,-20.43874,-25.7669
2.589998,12.87108,-5.143495,30.91036,-20.12963,-25.96819
2.599998,12.87108,-5.501416,29.47867,-19.83485,-26.16654
2.609998,13.49501,-5.74346,31.00619,-19.52479,-26.36179
2.619998,13.49501,-5.868084,30.5077,-19.21971,-26.55399
2.629998,14.68521,-5.875865,35.23739,-18.86734,-26.74266
2.639998,15,-5.7695,36.922,-18.49812,-26.92764
2.649998,15,-5.55373,37.78508,-18.12026,-27.10884
2.659998,15,-5.23526,39.05896,-17.72968,-27.28614
2.669998,15,-4.822548,40.70981,-17.32258,-27.45937
2.679998,14.35403,-4.325731,40.11321,-16.92144,-27.62858
2.689998,13.84427,-3.756363,40.35162,-16.51793,-27.79376
2.699998,13.84427,-3.127207,42.86825,-16.08924,-27.95465
2.709998,13.71542,-2.451981,45.05374,-15.63871,-28.11104
2.719998,13.71542,-1.7451,47.88126,-15.15989,-28.26264
2.729998,13.57074,-1.021395,50.19738,-14.65792,-28.40922
2.739998,13.57074,-0.2958341,53.09962,-14.12692,-28.55049
2.749998,13.57074,0.4167638,55.95001,-13.56742,-28.68616
2.759998,13.57074,1.102007,58.69098,-12.98051,-28.81597
2.769998,13.57074,1.746206,61.26778,-12.36784,-28.93965
2.779998,13.54474,2.336623,63.52546,-11.73258,-29.05697
2.789998,13.41702,2.861721,65.11495,-11.08143,-29.16779
2.799998,13.41702,3.311357,66.9135,-10.4123,-29.27191
2.809998,13.25878,3.677024,67.74319,-9.734865,-29.36926
2.819998,13.25878,3.951927,68.84281,-9.046437,-29.45972
2.829998,13.18305,4.131166,69.25685,-8.353868,-29.54326
2.839998,13.04741,4.211803,69.03685,-7.6635,-29.6199
2.849998,13.04741,4.192916,68.9613,-6.973887,-29.68963
2.859998,12.89482,4.075614,67.88174,-6.29507,-29.75258
2.869998,12.89482,3.863001,67.03128,-5.624757,-29.80883
2.879998,12.8044,3.560119,65.45806,-4.970176,-29.85853
2.889998,12.61903,3.173846,63.17149,-4.338461,-29.90192
2.899998,12.61903,2.712757,61.32714,-3.72519,-29.93917
2.909998,12.44609,2.186956,58.53219,-3.139868,-29.97057
2.919998,12.44609,1.607884,56.2159,-2.577709,-29.99635
2.929998,12.35228,0.988086,53.36145,-2.044095,-30.01679
2.939998,12.19969,0.341002,50.16275,-1.542467,-30.03221
2.949998,12.19969,-0.3193975,47.52115,-1.067256,-30.04288
2.959998,12.06631,-0.9787403,44.35028,-0.6237528,-30.04912
2.969998,12.06631,-1.622617,41.77478,-0.206005,-30.05118
2.979998,11.96911,-2.236851,38.92902,0.1832852,-30.04935
2.989998,11.96572,-2.807771,36.63178,0.549603,-30.04385
2.999998,11.96572,-3.322471,34.57298,0.8953328,-30.0349
3.009998,11.96572,-3.769074,32.78656,1.223198,-30.02267
3.019998,11.96572,-4.136965,31.315,1.536348,-30.0073
3.029998,11.96572,-4.416994,30.19489,1.838297,-29.98892
3.039998,11.96572,-4.601675,29.45616,2.132859,-29.96759
3.049998,11.96572,-4.685326,29.12156,2.424075,-29.94335
3.059998,11.96572,-4.664204,29.20605,2.716135,-29.91619
3.069998,11.96572,-4.536563,29.71661,3.013301,-29.88606
3.079998,11.96572,-4.302737,30.65191,3.31982,-29.85286
3.089998,11.96572,-3.965115,32.0024,3.639844,-29.81646
3.099998,11.96572,-3.528133,33.75033,3.977347,-29.77669
3.109998,11.96572,-2.998192,35.87009,4.336048,-29.73333
3.119998,11.96572,-2.383563,38.32861,4.719334,-29.68614
3.129997,11.96572,-1.694231,41.08594,5.130194,-29.63483
3.139997,11.96572,-0.9417342,44.09592,5.571153,-29.57912
3.149997,11.96572,-0.1389585,47.30703,6.044223,-29.51868
3.159997,11.96572,0.7001008,50.66327,6.550856,-29.45317
3.169997,11.96572,1.560572,54.10515,7.091908,-29.38225
3.179997,11.95102,2.427,57.51208,7.667028,-29.30558
