Name: Lorenzo, Condition: 2, Run: 11, Date: 10/8/2019 12:10:46 PM, Testing: True
time,userInput,disturbanceInput,angAcc,angVel,rollAngle
3.109998,0,-2.998192,-11.99277,-5.171434,0.7643173
3.119998,0,-2.383563,-9.53425,-5.266777,0.7116495
3.129997,0,-1.694231,-6.776926,-5.334546,0.6583041
3.139997,0,-0.9417342,-3.766937,-5.372215,0.604582
3.149997,0,-0.1389585,-0.5558339,-5.377774,0.5508042
3.159997,0,0.7001008,2.800403,-5.34977,0.4973065
3.169997,0,1.560572,6.242288,-5.287347,0.444433
3.179997,0,2.427,9.708,-5.190267,0.3925304
3.189997,0,3.283599,13.13439,-5.058923,0.3419411
3.199997,0,4.114563,16.45825,-4.89434,0.2929977
3.209997,0,4.904337,19.61735,-4.698166,0.2460161
3.219997,0,5.637901,22.5516,-4.472651,0.2012896
3.229997,0,6.301106,25.20442,-4.220606,0.1590835
3.239997,0,6.880836,27.52334,-3.945373,0.1196298
3.249997,0,7.365318,29.46127,-3.65076,0.08312219
3.259997,0,7.744331,30.97732,-3.340987,0.04971232
3.269997,0,8.0094,32.0376,-3.020611,0.01950621
3.279997,0,8.153952,32.61581,-2.694453,-0.007438321
3.289997,0,8.173456,32.69382,-2.367515,-0.03111347
3.299997,0,8.065507,32.26203,-2.044895,-0.05156241
3.309997,0,7.829885,31.31954,-1.731699,-0.0688794
3.319997,0,7.468566,29.87427,-1.432957,-0.08320897
3.329997,0,6.985709,27.94284,-1.153528,-0.09474425
3.339997,0,6.387576,25.5503,-0.8980253,-0.1037245
3.349997,0,5.682446,22.72978,-0.6707275,-0.1104318
3.359997,0,4.88049,19.52196,-0.4755079,-0.1151869
3.369997,0,3.993529,15.97412,-0.3157667,-0.1183445
3.379997,0,3.034935,12.13974,-0.1943693,-0.1202882
3.389997,0,2.019334,8.077337,-0.113596,-0.1214242
3.399997,0,0.9623758,3.849503,-0.07510094,-0.1221752
3.409997,0,-0.1195414,-0.4781656,-0.07988259,-0.122974
3.419997,0,-1.209554,-4.838215,-0.1282647,-0.1242567
3.429997,0,-2.290625,-9.1625,-0.2198897,-0.1264556
3.439997,0,-3.345839,-13.38336,-0.3537233,-0.1299928
3.449997,0,-4.358696,-17.43479,-0.5280712,-0.1352735
3.459997,0,-5.3134,-21.2536,-0.7406071,-0.1426796
3.469997,0,-6.195127,-24.78051,-0.9884122,-0.1525637
3.479997,0,-6.990283,-27.96113,-1.268023,-0.1652439
3.489997,0,-7.686744,-30.74697,-1.575493,-0.1809989
3.499997,0,-8.274038,-33.09615,-1.906455,-0.2000634
3.509997,0,-8.74358,-34.97432,-2.256198,-0.2226254
3.519997,0,-9.088746,-36.35498,-2.619748,-0.2488229
3.529997,0,-9.305019,-37.22008,-2.991949,-0.2787424
3.539997,0,-9.390053,-37.56021,-3.367551,-0.3124179
3.549997,0,-9.343702,-37.37481,-3.741299,-0.3498308
3.559997,0,-9.168015,-36.67206,-4.108019,-0.390911
3.569997,0,-8.867193,-35.46877,-4.462707,-0.4355381
3.579997,0,-8.447486,-33.78994,-4.800606,-0.4835442
3.589997,0,-7.91709,-31.66836,-5.11729,-0.5347171
3.599997,0,-7.285983,-29.14393,-5.40873,-0.5888044
3.609997,0,-6.565726,-26.2629,-5.671359,-0.6455179
3.619997,0,-5.769268,-23.07707,-5.902129,-0.7045392
3.629997,0,-4.910685,-19.64274,-6.098557,-0.7655248
3.639997,0,-4.004961,-16.01984,-6.258755,-0.8281124
3.649997,0,-3.0676,-12.2704,-6.381459,-0.8919269
3.659997,0,-2.114509,-8.458035,-6.466039,-0.9565873
3.669997,0,-1.161585,-4.646342,-6.512503,-1.021712
3.679997,0,-0.2244809,-0.8979235,-6.521482,-1.086927
3.689997,0,0.6817052,2.726821,-6.494214,-1.151869
3.699997,0,1.542675,6.1707,-6.432507,-1.216194
3.709997,0,2.345196,9.380786,-6.338699,-1.279581
3.719997,0,3.077345,12.30938,-6.215605,-1.341738
3.729997,0,3.728688,14.91475,-6.066458,-1.402402
3.739997,0,4.290497,17.16199,-5.894838,-1.46135
3.749997,0,4.755858,19.02343,-5.704604,-1.518396
3.759997,0,5.119819,20.47927,-5.499811,-1.573395
3.769997,0,5.379435,21.51774,-5.284633,-1.626241
3.779997,0,5.53384,22.13536,-5.06328,-1.676874
3.789997,0,5.584198,22.33679,-4.839911,-1.725273
3.799997,0,5.533719,22.13487,-4.618563,-1.771459
3.809997,0,5.387536,21.55014,-4.403061,-1.815489
3.819997,0,5.152616,20.61046,-4.196957,-1.857459
3.829997,0,4.837609,19.35044,-4.003452,-1.897493
3.839997,0,4.452661,17.81064,-3.825346,-1.935747
3.849997,0,4.009219,16.03688,-3.664977,-1.972396
3.859997,0,3.519786,14.07914,-3.524186,-2.007638
3.869997,0,2.997688,11.99075,-3.404278,-2.041681
