Name: Lorenzo, Condition: 2, Run: 12, Date: 10/7/2019 11:17:00 AM, Testing: True
time,userInput,disturbanceInput,angAcc,angVel,rollAngle
1.979998,-0.446284,-1.105889,-6.208694,4.291955,2.495802
1.989998,-0.446284,-1.722482,-8.675064,4.205204,2.537854
1.999998,-0.446284,-2.37475,-11.28413,4.092363,2.578777
2.009999,-0.446284,-3.049122,-13.98163,3.952547,2.618303
2.019999,-0.446284,-3.731366,-16.7106,3.785441,2.656157
2.029999,-0.446284,-4.406835,-19.41247,3.591316,2.69207
2.039999,-0.446284,-5.060766,-22.0282,3.371034,2.725781
2.049999,-0.446284,-5.678555,-24.49936,3.126041,2.757041
2.059999,-0.446284,-6.246041,-26.7693,2.858348,2.785625
2.069999,-0.446284,-6.749773,-28.78423,2.570506,2.81133
2.079998,-0.446284,-7.177303,-30.49435,2.265562,2.833986
2.089998,-0.446284,-7.51738,-31.85466,1.947016,2.853456
2.099998,-0.446284,-7.76021,-32.82598,1.618756,2.869643
2.109998,-0.446284,-7.897639,-33.37569,1.284999,2.882493
2.119998,-0.446284,-7.923331,-33.47846,0.9502143,2.891996
2.129998,-0.446284,-7.832892,-33.1167,0.6190473,2.898186
2.139998,-0.446284,-7.623978,-32.28105,0.2962368,2.901149
2.149998,-0.446284,-7.296359,-30.97057,-0.0134689,2.901014
2.159998,-0.446284,-6.851918,-29.19281,-0.305397,2.89796
2.169998,-0.446284,-6.294677,-26.96384,-0.5750354,2.89221
2.179998,-0.446284,-5.63071,-24.30797,-0.8181151,2.884028
2.189998,-0.446284,-4.86807,-21.25741,-1.030689,2.873722
2.199998,-0.446284,-4.016648,-17.85173,-1.209206,2.861629
2.209998,-0.446284,-3.088026,-14.13724,-1.350579,2.848124
2.219998,-0.446284,-2.095246,-10.16612,-1.45224,2.833601
2.229998,-0.446284,-1.052638,-5.995687,-1.512197,2.81848
2.239998,-0.446284,0.02445536,-1.687315,-1.52907,2.803189
2.249998,-0.446284,1.119935,2.694606,-1.502124,2.788167
2.259998,-0.446284,2.217232,7.083791,-1.431286,2.773855
2.269998,-0.446284,3.299587,11.41321,-1.317154,2.760683
2.279998,-0.446284,4.350339,15.61622,-1.160992,2.749073
2.289998,-0.446284,5.353265,19.62792,-0.9647126,2.739426
2.299998,-0.446284,6.292783,23.386,-0.7308526,2.732118
2.309998,-0.446284,7.154292,26.83203,-0.4625323,2.727492
2.319998,-0.446284,7.924407,29.91249,-0.1634074,2.725858
2.329998,-0.446284,8.591195,32.57964,0.162389,2.727482
2.339998,-0.446284,9.144393,34.79243,0.5103134,2.732585
2.349998,-0.446284,9.575583,36.51719,0.8754853,2.74134
2.359998,-0.446284,9.878345,37.72824,1.252768,2.753868
2.369998,-0.4293295,10.04837,38.47615,1.637529,2.770243
2.379998,-0.3773358,10.08353,38.82479,2.025777,2.790501
2.389998,-0.2835211,9.983941,38.80168,2.413794,2.814639
2.399998,-0.1535369,9.751915,38.39351,2.797729,2.842616
2.409998,0,9.391955,37.56782,3.173407,2.87435
2.419998,0,8.910668,35.64267,3.529834,2.909648
2.429998,0,8.31664,33.26656,3.8625,2.948273
